Antal nya cancerfall per 100 000 personer (crude rate), Ålder: 45-85+, Män, Diagnos:177 Prostata (blåshalskörtel), oavsett tumörtyp
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2014;Gävleborgs län;0,00;43,14;121,82;448,48;781,55;1279,65;1122,74;966,85;1021,85;533,85
2014;Västernorrlands län;23,04;103,80;259,24;531,69;939,82;1158,13;1470,74;931,82;805,32;606,51
2014;Jämtlands län;22,76;221,89;355,66;595,24;1024,77;1189,61;724,02;862,33;576,37;586,39
2014;Västerbottens län;23,28;87,94;219,73;559,30;827,28;1127,82;820,58;526,14;622,28;486,88
2014;Norrbottens län;22,41;47,34;93,21;409,65;727,64;806,39;647,51;562,05;522,99;381,25
2013;Riket;24,30;112,93;278,06;566,24;859,11;838,85;856,34;808,63;620,42;473,89
2013;Stockholms län;33,77;178,95;446,31;842,91;1302,77;934,76;862,54;904,18;628,23;583,14
2013;Uppsala län;8,56;108,72;239,02;410,27;683,11;674,25;807,07;745,69;373,97;383,02
2013;Södermanlands län;0,00;79,06;210,96;564,50;690,64;860,25;948,87;752,00;764,23;460,07
2013;Östergötlands län;19,48;134,31;254,76;416,24;786,16;1058,25;1182,91;1031,46;743,85;511,31
2013;Jönköpings län;8,15;168,37;237,98;572,23;928,53;864,44;862,31;781,84;719,52;494,78
2013;Kronobergs län;45,85;281,00;300,09;763,99;905,95;711,01;861,24;859,85;717,19;548,84
2013;Kalmar län;36,07;132,88;309,56;564,42;1023,89;696,49;833,88;759,73;259,55;499,91
2013;Gotlands län;99,23;107,27;196,90;521,08;650,56;562,85;484,26;1432,66;694,44;433,24
2013;Blekinge län;36,03;82,26;321,72;608,95;768,32;900,90;765,90;982,80;897,13;518,11
2013;Skåne län;33,62;80,10;247,86;554,32;817,34;831,01;867,33;694,47;446,80;446,92
2013;Hallands län;17,99;176,25;286,96;734,87;845,56;949,09;836,98;651,28;615,38;516,85
2013;Västra Götalands län;17,27;67,13;230,99;445,12;699,45;700,93;719,18;672,30;652,02;387,12
2013;Värmlands län;29,94;101,25;144,52;352,70;691,04;658,18;869,05;830,65;596,72;400,89
2013;Örebro län;20,23;22,78;106,47;367,85;418,04;431,25;447,83;1115,36;521,51;294,10
2013;Västmanlands län;41,64;131,85;255,59;633,42;1033,92;957,99;1061,74;1042,18;884,96;572,50
2013;Dalarnas län;10,39;22,34;192,55;400,82;684,87;892,31;734,20;496,83;866,23;414,98
2013;Gävleborgs län;19,73;44,10;230,35;322,38;720,50;1151,98;812,44;1070,40;678,33;469,83
2013;Västernorrlands län;0,00;92,00;329,85;551,55;861,14;975,61;1048,46;967,84;496,69;531,24
2013;Jämtlands län;22,29;99,84;255,46;894,05;1137,95;1346,70;1971,09;797,06;924,61;732,53
2013;Västerbottens län;23,03;88,64;194,39;487,17;602,41;824,95;862,07;829,19;675,39;425,28
2013;Norrbottens län;0,00;70,87;161,13;393,10;462,44;696,11;758,66;631,48;449,84;343,23
2012;Riket;21,69;114,65;271,51;501,37;782,09;872,72;811,13;765,02;632,38;448,70
2012;Stockholms län;16,51;156,71;321,78;635,83;963,33;892,53;711,12;753,08;824,61;471,78
2012;Uppsala län;25,95;110,29;169,81;329,00;685,57;726,17;735,21;715,62;826,60;377,20
2012;Södermanlands län;0,00;171,65;198,96;301,32;611,68;825,21;675,60;768,98;542,32;385,83
2012;Östergötlands län;19,71;60,13;323,97;557,35;946,03;894,73;911,02;972,18;891,57;517,08
2012;Jönköpings län;24,89;132,58;363,69;361,20;873,32;1114,36;861,82;702,19;449,38;477,35
2012;Kronobergs län;109,65;141,62;401,36;778,34;976,76;1047,63;1434,63;1273,07;437,64;651,34
2012;Kalmar län;48,37;134,71;303,68;681,74;718,05;805,06;862,07;852,00;704,88;509,22
2012;Gotlands län;0,00;105,40;196,61;235,24;752,94;612,24;396,83;881,70;695,05;358,74
2012;Blekinge län;0,00;83,76;212,92;548,21;750,71;1024,33;748,43;995,77;553,34;483,71
2012;Skåne län;29,58;102,80;267,18;541,93;680,07;999,79;837,94;735,65;512,44;448,97
