Dödsorsaksstatistik, Antal döda per 100 000, C61 Malign tumör i prostata, Ålder: 45-85+, Män
År;Region;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2013;Kronobergs län;­­;­­;17,65;33,22;16,47;91,74;223,29;300,95;956,25;100,22
2013;Kalmar län;­­;­­;12,90;36,81;34,13;92,86;197,50;474,83;964,03;109,74
2013;Gotlands län;­­;­­;­­;­­;­­;62,54;193,70;716,33;694,44;85,23
2013;Blekinge län;­­;­­;­­;20,30;18,29;146,09;199,80;442,26;837,32;101,97
2013;Skåne län;4,48;­­;8,17;38,04;37,03;136,70;278,60;403,24;1033,77;111,17
2013;Hallands län;9,00;­­;­­;31,49;69,63;149,14;175,18;622,96;1068,83;124,86
2013;Västra Götalands län;1,73;1,97;10,31;29,39;54,12;122,66;221,61;467,69;1153,05;113,86
2013;Värmlands län;­­;­­;22,23;32,06;82,51;117,01;316,02;803,86;1193,44;157,00
2013;Örebro län;­­;­­;11,83;44,59;73,16;71,88;358,26;478,01;1229,28;128,77
2013;Västmanlands län;­­;­­;­­;­­;69,70;62,82;161,57;455,95;1126,31;100,53
2013;Dalarnas län;­­;­­;­­;10,02;76,10;121,68;218,28;414,02;1299,35;123,01
2013;Gävleborgs län;­­;­­;32,91;20,80;124,89;124,91;277,42;713,60;1249,55;152,14
2013;Västernorrlands län;­­;­­;12,22;11,74;113,31;157,36;256,77;655,64;1200,33;143,49
2013;Jämtlands län;­­;­­;­­;22,35;­­;156,59;262,81;306,56;1920,34;144,53
2013;Västerbottens län;11,51;­­;12,15;­­;96,39;120,31;294,92;364,84;802,03;105,01
2013;Norrbottens län;­­;­­;­­;33,69;112,79;92,81;164,04;420,99;1169,59;110,03
2012;Riket;0,59;2,70;9,34;22,79;61,72;135,85;264,45;551,80;1064,93;117,31
2012;Stockholms län;­­;­­;6,85;14,66;70,26;120,15;250,21;574,38;1057,19;97,62
2012;Uppsala län;­­;­­;19,98;19,35;78,35;121,03;160,83;746,73;713,88;101,55
2012;Södermanlands län;­­;­­;­­;10,76;62,21;90,02;261,52;448,57;619,79;87,33
2012;Östergötlands län;­­;­­;­­;14,86;81,94;97,02;334,04;496,43;1108,43;122,30
2012;Jönköpings län;­­;­­;9,57;28,52;76,78;83,58;306,43;376,18;870,66;108,18
2012;Kronobergs län;­­;­­;­­;16,22;33,68;219,27;293,45;509,23;1215,66;139,92
2012;Kalmar län;­­;­­;­­;23,92;23,16;115,01;294,92;473,34;1038,77;117,65
2012;Gotlands län;­­;­­;­­;­­;47,06;68,03;99,21;293,90;868,81;71,75
2012;Blekinge län;­­;­­;­­;19,58;128,17;76,82;238,14;448,10;1045,19;122,32
2012;Skåne län;­­;7,91;13,63;29,37;56,23;164,09;212,20;465,41;1219,24;122,62
2012;Hallands län;­­;10,48;21,36;20,59;81,65;100,48;305,31;453,13;1310,40;134,20
2012;Västra Götalands län;­­;4,01;8,28;26,76;36,15;145,69;250,12;514,73;1091,16;114,42
